ngram	value
machine learn	1.8764044943820224
kernel embedding	1.9166666666666667
also call	1.0
kernel mean	1.6666666666666667
mean map	1.5
nonparametric method	1.25
probability distribution	1.164319248826291
reproducing kernel hilbert space	1.75
hilbert space	1.4090909090909092
reproducing kernel	1.5555555555555556
feature mapping	1.0
kernel method	1.0714285714285714
feature space	1.0952380952380953
can preserve	1.0
statistical feature	1.0
arbitrary distribution	1.0
allow one	1.0
inner product	1.4035087719298247
linear transformation	1.0
spectral analysis	1.0
space can	3.6666666666666665
learn framework	1.0
space formula	1.2741935483870968
kernel function	1.6190476190476188
measure similarity	1.0
formula may	3.0
sensible kernel	1.5
time series	1.910669191919192
dynamical system	1.0
kernel embeddings	1.0
bernhard schlkopf	2.5
recent work	1.0
distribution can	3.1666666666666665
many algorithm	1.0
information theoretic approach	1.3333333333333333
mutual information	1.5238095238095237
kullbackleibler divergence	1.0
information theoretic	2.0
one must	2.0
perform density estimation	1.3333333333333333
highdimensional data	1.1666666666666667
density estimation	1.2727272727272727
gaussian mixture model	1.9166666666666667
kernel density estimation	1.4666666666666663
characteristic function	2.4444444444444446
fourier transform	1.4
method like	1.3333333333333333
gaussian mixture	2.0814814814814815
mixture model	1.2683333333333333
kernel density	1.9888888888888887
method base	2.125
many popular	2.0
machine learning	1.449621212121212
special case	1.0
can lead	1.0
learn algorithm	1.2705128205128207
popular method	1.0
let formula denote	1.4285714285714286
random variable	1.293859649122807
distribution formula	1.2033898305084745
formula denote	1.5
let formula	1.918300653594771
kernel formula	1.309917355371901
rkhs formula	1.0
function formula	1.388316151202749
inner product formula	1.3333333333333333
norm formula	1.4444444444444444
reproducing property	1.5
product formula	1.5714285714285714
one may	2.0
feature map formula	1.3333333333333333
formula can	3.2396825396825397
point formula	1.462121212121212
feature map	1.25
map formula	1.0
similarity measure	1.3333333333333335
original space	1.0
density formula	1.25
characteristic kernel	1.0
give formula	1.8666666666666667
training example formula	2.12
identically distribute	1.0
training example	1.4411764705882353
example formula	1.2777777777777777
formula training example	1.5555555555555554
empirically estimate	1.0
formula denotes	1.0
joint distribution formula	1.9999999999999998
linear map	1.5
operator formula	2.1666666666666665
function formula can	2.6666666666666665
joint distribution	1.4444444444444444
formula drawn	1.0
can also	2.0
conditional distribution formula	1.3333333333333333
one can	2.095726495726496
rkhs embed	1.5
value formula	1.7142857142857142
variable formula	1.6675555555555552
conditional distribution	1.7023809523809523
formula one can	2.3777777777777778
can define	1.0
fix formula	1.25
particular value	1.0
conditional embedding	2.933333333333333
formula give formula	2.0
formula give	1.8444444444444446
always true	1.0
kernel embed	1.0
inversion operator	1.0
identity matrix	1.0
give training example formula	1.8333333333333335
empirical kernel	2.2
conditional embedding operator	3.5555555555555554
matrix formula	1.1428571428571428
gram matrix	1.777777777777778
