collocation	syntax_distance
machine learn	1.8701754385964913
kernel embedding	1.4705882352941178
distribution also	4.0
also call	1.0
kernel mean	1.6666666666666667
mean map	1.5
map comprise	1.0
nonparametric method	1.25
probability distribution	1.25
reproducing kernel	1.5555555555555556
kernel hilbert	2.0588235294117645
hilbert space	1.5454545454545454
space rkhs	1.0
kernel hilbert space	2.176470588235294
hilbert space rkhs	2.0
reproducing kernel hilbert space	2.0
kernel hilbert space rkhs	2.3333333333333335
reproducing kernel hilbert space rkhs	2.0
reproducing kernel hilbert	2.0
feature mapping	1.0
classical kernel	2.0
kernel method	1.0714285714285714
infinitedimensional feature	2.0
feature space	1.1363636363636365
space can	3.6666666666666665
can preserve	1.0
statistical feature	1.0
arbitrary distribution	1.0
allow one	1.0
manipulate distribution	1.0
distribution use	1.0
use hilbert	2.0
space operation	1.0
inner product	1.35
product distance	1.0
distance projection	2.0
projection linear	2.0
linear transformation	1.0
spectral analysis	1.0
feature space can	6.0
learn framework	1.0
space formula	1.4516129032258065
sensible kernel	1.5
kernel function	1.125
function measure	5.0
measure similarity	1.0
formula may	2.764705882352941
sensible kernel function	2.0
kernel function measure	2.0
example various	2.0
various kernel	1.0
formula discrete	3.0
image time	1.0
time series	2.28
series manifold	1.0
manifold dynamical	2.0
dynamical system	1.5
structured object	1.0
theory behind	2.0
behind kernel	2.0
kernel embeddings	1.0
distribution ha	4.0
primarily develop	1.0
alex smola	1.0
smola le	2.0
le song	3.0
song arthur	1.0
bernhard schlkopf	2.5
recent work	1.0
distribution can	2.4545454545454546
many algorithm	1.0
field rely	1.0
information theoretic	2.0
theoretic approach	1.0
entropy mutual	2.0
mutual information	1.9285714285714286
kullbackleibler divergence	1.0
information theoretic approach	2.0
quantity one	3.0
one must	1.75
must first	2.0
first either	2.0
either perform	3.0
perform density	1.5
density estimation	1.4545454545454546
employ sophisticate	1.0
typically infeasible	1.0
highdimensional data	1.1428571428571428
perform density estimation	2.0
commonly method	1.0
model complex	2.0
complex distribution	1.0
distribution rely	1.0
parametric assumption	1.0
computationally challenge	1.0
challenge e	1.0
gaussian mixture	1.5
mixture model	1.1162790697674418
method like	1.3333333333333333
like kernel	3.0
kernel density	2.066666666666667
estimation note	1.0
smoothing kernel	1.0
different interpretation	1.0
kernel discuss	1.0
characteristic function	1.75
function representation	1.0
representation via	3.0
fourier transform	1.4
distribution break	1.0
highdimensional setting	1.0
gaussian mixture model	2.0
kernel density estimation	2.2
nonparametric method like	2.0
characteristic function representation	2.0
method base	2.125
also possess	1.0
follow advantage	1.0
thus learn	1.0
learn via	2.0
distribution offer	3.0
subsume many	2.0
many popular	2.0
popular method	1.0
machine learning	1.4333333333333333
special case	1.0
also can	2.0
can lead	1.0
entirely new	1.0
new learn	2.0
learn algorithm	1.2424242424242424
new learn algorithm	2.0
many popular method	2.0
let formula	2.0892857142857144
formula denote	1.0909090909090908
random variable	1.4878048780487805
codomain formula	1.0
distribution formula	1.2833333333333334
let formula denote	2.142857142857143
kernel formula	1.8181818181818181
theorem assert	1.0
rkhs formula	1.0
function formula	1.54
formula equip	1.0
product formula	1.5714285714285714
norm formula	1.2222222222222223
element formula	1.0
formula satisfy	1.0
reproducing property	2.0
property formula	1.0
inner product formula	2.0
element formula satisfy	2.0
one may	1.9230769230769231
may alternatively	2.0
alternatively consider	1.0
consider formula	1.6666666666666667
implicit feature	1.0
feature map	1.25
map formula	1.0
