ngramm	freq	score
machine learn	279.0	16.46627253966656
kernel embedding	19.0	4.3452884964751295
distribution also	1.0	0.036854920125898194
also call	21.0	4.494583565096444
kernel mean	3.0	1.6110263417344726
mean map	2.0	1.3628025027967132
map comprise	1.0	0.9972563691430607
nonparametric method	4.0	1.9824959914484233
probability distribution	73.0	8.412681896118363
reproducing kernel	9.0	2.9942870716788406
kernel hilbert	17.0	4.115751347445349
hilbert space	23.0	4.786432958061261
space rkhs	3.0	1.7015015415882397
feature mapping	3.0	1.6995780692857554
classical kernel	1.0	0.9156244432567254
kernel method	14.0	3.603184352081315
infinitedimensional feature	1.0	0.9839301621236416
feature space	21.0	4.389705758476104
space can	6.0	1.5630243652357771
can preserve	2.0	1.3304643038423953
statistical feature	2.0	1.2002086755650303
arbitrary distribution	4.0	1.9491121800581983
allow one	4.0	1.8151790486370925
manipulate distribution	1.0	0.975176673199121
distribution use	1.0	-1.5617673258507039
use hilbert	1.0	0.8590415107785498
space operation	1.0	0.9255300195973633
inner product	21.0	4.580398570093339
product distance	1.0	0.9410891383098758
distance projection	1.0	0.9756992695528238
projection linear	1.0	0.967468376982006
linear transformation	2.0	1.3654186173206115
spectral analysis	3.0	1.7231226045819437
learn framework	11.0	3.1448390643693513
space formula	34.0	4.908043242998762
sensible kernel	2.0	1.4123491083624837
kernel function	8.0	2.5016815593865696
function measure	3.0	1.4003701237939143
measure similarity	2.0	1.3614797482621581
formula may	17.0	2.6201596430004463
example various	1.0	0.7938535542490647
various kernel	1.0	0.9169428113308391
formula discrete	1.0	0.33139735138666193
image time	1.0	0.7262782825583467
time series	59.0	7.663434674926339
series manifold	1.0	0.983734188491003
manifold dynamical	1.0	0.9986281845715304
dynamical system	4.0	1.9947413741908664
structured object	1.0	0.9735970069481561
theory behind	1.0	0.9844527584773443
behind kernel	1.0	0.9854979511847497
kernel embeddings	5.0	2.221917766460988
distribution ha	1.0	0.3396995070966209
primarily develop	1.0	0.9968644218777837
alex smola	1.0	0.999946552645644
smola le	1.0	0.9996436843042936
le song	1.0	0.999406140507156
song arthur	1.0	0.9998812281014312
bernhard schlkopf	2.0	1.4141505740619258
recent work	6.0	2.437852520892172
distribution can	11.0	2.487340568174013
many algorithm	5.0	1.7130307098606086
field rely	1.0	0.9773858305125007
information theoretic	3.0	1.7294073188964787
theoretic approach	2.0	1.4107240099343157
entropy mutual	1.0	0.9987885266345983
mutual information	16.0	3.9935135696894113
kullbackleibler divergence	2.0	1.4140749880885226
quantity one	1.0	0.9368133499613991
one must	3.0	1.571535158169379
must first	1.0	0.9127264089316468
first either	1.0	0.9385117881109329
either perform	1.0	0.9683354118415582
perform density	2.0	1.3896565194585577
density estimation	12.0	3.4576900407961397
employ sophisticate	1.0	0.99916265811509
typically infeasible	1.0	0.9981471583823267
highdimensional data	6.0	2.3566586539901304
commonly method	1.0	0.8973098164974167
model complex	2.0	1.0921669250267043
complex distribution	1.0	0.8088603836332324
distribution rely	1.0	0.9205653542371874
parametric assumption	1.0	0.9850347407803314
computationally challenge	1.0	0.9967218955995012
challenge e	1.0	0.9799216105469446
gaussian mixture	11.0	3.3051348069944195
mixture model	43.0	6.473552084651378
method like	3.0	1.6053896421528602
like kernel	1.0	0.8760734010333155
kernel density	16.0	3.977587742740068
estimation note	1.0	0.975176673199121
smoothing kernel	1.0	0.996044895777659
different interpretation	1.0	0.9636795534176614
kernel discuss	1.0	0.9723142704436131
characteristic function	4.0	1.9167408991032722
function representation	2.0	0.6812437806204333
representation via	1.0	0.9364154641011937
fourier transform	5.0	2.235478385373173
distribution break	1.0	0.9851060039194727
highdimensional setting	1.0	0.9883603539402578
method base	8.0	2.620490111914101
also possess	1.0	0.9746540768454184
follow advantage	1.0	0.9626462379001128
advantage thus	1.0	0.9767800938297999
thus learn	2.0	0.820233788046608
learn via	2.0	1.1921167771901475
distribution offer	1.0	0.9429063483579785
subsume many	1.0	0.9948928083615417
many popular	2.0	1.3943512482510427
popular method	2.0	1.377907099815111
machine learning	91.0	9.391267542716319
special case	19.0	4.346580058418887
also can	1.0	-1.55302571411604
can lead	4.0	1.763121325494388
entirely new	1.0	0.9899815903557219
new learn	2.0	0.16943855704541358
learn algorithm	131.0	10.86093683276446
let formula	57.0	7.374877232317754
formula denote	18.0	4.0773621580915425
random variable	41.0	6.325079091860509
codomain formula	1.0	0.9347704733060158
distribution formula	62.0	7.008313344797637
kernel formula	16.0	3.0949403171209693
theorem assert	1.0	0.9981709127620405
rkhs formula	3.0	1.4778438851966627
function formula	108.0	9.292310693666828
formula equip	1.0	0.9347704733060158
product formula	7.0	2.152662437433929
norm formula	9.0	2.5107785497951185
element formula	3.0	1.0353355388450296
formula satisfy	2.0	1.010626456607675
reproducing property	2.0	1.4085908057960488
property formula	1.0	-0.6796603123700933
